feature,availability_system_a,availability_system_b,absolute_difference,absolute_percentage_point_difference,absolute_shift_magnitude
HCO3,0.5160703780950853,0.008842175508842176,-0.5072282025862431,-50.72282025862431,0.5072282025862431
BaseExcess,0.480988288143751,0.011733956178400623,-0.4692543319653504,-46.92543319653504,0.4692543319653504
Chloride,0.5169260388256056,0.05483261038816594,-0.46209342843743967,-46.20934284374397,0.46209342843743967
DBP,0.5628643242954169,0.9922144366588811,0.4293501123634642,42.93501123634642,0.4293501123634642
FiO2,0.5005080485587464,0.19886553219886552,-0.30164251635988093,-30.164251635988094,0.30164251635988093
pH,0.4927536231884058,0.20364809253698143,-0.2891055306514244,-28.91055306514244,0.2891055306514244
PTT,0.3995935611530028,0.13213213213213212,-0.26746142902087067,-26.746142902087065,0.26746142902087067
PaCO2,0.4660677041553024,0.20381492603714826,-0.2622527781181542,-26.225277811815417,0.2622527781181542
Hct,0.6176800898443767,0.38521855188521853,-0.2324615379591582,-23.24615379591582,0.2324615379591582
Calcium,0.3128509545965025,0.4726393059726393,0.15978835137613684,15.978835137613684,0.15978835137613684
BUN,0.5225413123696454,0.3763763763763764,-0.14616493599326902,-14.616493599326901,0.14616493599326902
Hgb,0.5289052890528906,0.3871649427204983,-0.1417403463323923,-14.17403463323923,0.1417403463323923
Glucose,0.5925450558853415,0.7053164275386498,0.1127713716533083,11.277137165330831,0.1127713716533083
WBC,0.47221776565591744,0.3631965298631965,-0.10902123579272094,-10.902123579272093,0.10902123579272094
Phosphate,0.31087223915717416,0.20881993104215327,-0.10205230811502089,-10.205230811502089,0.10205230811502089
Platelets,0.4660677041553024,0.3690357023690357,-0.0970320017862667,-9.70320017862667,0.0970320017862667
Alkalinephos,0.10722498529333119,0.2012012012012012,0.09397621590787,9.397621590787,0.09397621590787
Magnesium,0.400021391518263,0.3065843621399177,-0.0934370293783453,-9.34370293783453,0.0934370293783453
AST,0.10947109471094711,0.20114559003447893,0.09167449532353182,9.167449532353181,0.09167449532353182
Creatinine,0.4655863949943847,0.3767656545434323,-0.0888207404509524,-8.882074045095239,0.0888207404509524
Potassium,0.5584255842558425,0.49438327216104994,-0.06404231209479261,-6.404231209479261,0.06404231209479261
SaO2,0.231937536766672,0.1728395061728395,-0.05909803059383251,-5.9098030593832505,0.05909803059383251
SBP,0.9508529867907375,0.9923256589923256,0.04147267220158812,4.147267220158812,0.04147267220158812
Lactate,0.2084068666773624,0.17017017017017017,-0.03823669650719225,-3.823669650719225,0.03823669650719225
Resp,0.9926734049949195,0.9626292959626293,-0.030044109032290267,-3.0044109032290267,0.030044109032290267
MAP,0.9967377934648912,0.9749193638082527,-0.021818429656638494,-2.1818429656638494,0.021818429656638494
Temp,0.9089790897908979,0.8994550105661216,-0.009524079224776272,-0.9524079224776272,0.009524079224776272
HR,0.9983421573346168,0.9943832721610499,-0.003958885173566906,-0.3958885173566906,0.003958885173566906
O2Sat,0.9935290657254399,0.9918807696585474,-0.0016482960668924296,-0.16482960668924296,0.0016482960668924296
