feature,median_count_if_available_a,median_count_if_available_b,mean_count_if_available_a,mean_count_if_available_b,delta_mean_count_if_available,absolute_delta_mean_count
FiO2,2.0,1.0,2.1003205128205127,1.4417760402122313,-0.6585444726082814,0.6585444726082814
HCO3,1.0,1.0,1.1993782383419689,1.7924528301886793,0.5930745918467104,0.5930745918467104
pH,2.0,1.0,1.9405252876058172,1.4281813216821408,-0.5123439659236764,0.5123439659236764
DBP,5.0,5.0,4.01206650831354,4.524380674812241,0.512314166498701,0.512314166498701
Glucose,1.0,1.0,1.4660649819494584,1.8814949144524167,0.41542993250295823,0.41542993250295823
Hct,1.0,1.0,1.3814718614718615,1.086761946008373,-0.29470991546348846,0.29470991546348846
PaCO2,1.0,1.0,1.6884681583476764,1.427830832196453,-0.26063732615122337,0.26063732615122337
SaO2,1.0,1.0,1.6474521558681117,1.4266409266409266,-0.2208112292271851,0.2208112292271851
Hgb,1.0,1.0,1.2970677451971688,1.0769893708704394,-0.2200783743267294,0.2200783743267294
Resp,5.0,5.0,4.409977373127895,4.222934719815136,-0.18704265331275938,0.18704265331275938
Calcium,1.0,1.0,1.0485470085470086,1.23167431462525,0.18312730607824146,0.18312730607824146
WBC,1.0,1.0,1.220611551528879,1.0444036135354464,-0.17620793799343248,0.17620793799343248
O2Sat,5.0,5.0,4.356120142103563,4.52500560663826,0.16888546453469644,0.16888546453469644
SBP,5.0,5.0,4.364116985376828,4.525386684599866,0.16126969922303758,0.16126969922303758
Chloride,1.0,1.0,1.2100144837575004,1.3711967545638946,0.16118227080639413,0.16118227080639413
Magnesium,1.0,1.0,1.2005347593582887,1.0397242880464357,-0.160810471311853,0.160810471311853
MAP,5.0,5.0,4.3988625388990235,4.55575837088586,0.15689583198683632,0.15689583198683632
BUN,1.0,1.0,1.195476409784055,1.045951536643026,-0.1495248731410288,0.1495248731410288
Alkalinephos,1.0,1.0,1.1536159600997506,1.019624101713654,-0.13399185838609662,0.13399185838609662
AST,1.0,1.0,1.1519296531509526,1.019629527232513,-0.13230012591843954,0.13230012591843954
BaseExcess,2.0,1.0,1.932621747831888,1.8246445497630333,-0.10797719806885464,0.10797719806885464
HR,5.0,5.0,4.480608527962288,4.581007773614451,0.10039924565216296,0.10039924565216296
Potassium,1.0,1.0,1.3515610036391497,1.2780652418447693,-0.07349576179438033,0.07349576179438033
PTT,1.0,1.0,1.0711991434689507,1.0404040404040404,-0.03079510306491029,0.03079510306491029
Platelets,1.0,1.0,1.0790590935169249,1.0489752863170585,-0.030083807199866364,0.030083807199866364
Temp,2.0,1.0,1.9861151967994353,2.0160133547669097,0.029898157967474415,0.029898157967474415
Lactate,1.0,1.0,1.5014113420579933,1.4725490196078432,-0.02886232245015008,0.02886232245015008
Phosphate,1.0,1.0,1.0500602098744194,1.0396804260985353,-0.01037978377588411,0.01037978377588411
Creatinine,1.0,1.0,1.045600735125201,1.04619926199262,0.0005985268674189026,0.0005985268674189026
