feature,mean_density_if_available_a,mean_density_if_available_b,median_density_if_available_a,median_density_if_available_b,delta_mean_density_b_minus_a,absolute_delta_mean_density
FiO2,0.4672631766381767,0.25668342176300846,0.4,0.16666666666666666,-0.21057975487516822,0.21057975487516822
pH,0.4402883293538818,0.25508374294556707,0.3333333333333333,0.16666666666666666,-0.18520458640831472,0.18520458640831472
Resp,0.8518424738713501,0.7163450799152706,0.8333333333333334,0.8333333333333334,-0.13549739395607951,0.13549739395607951
PaCO2,0.3832013769363166,0.2552387448840382,0.3333333333333333,0.16666666666666666,-0.12796263205227842,0.12796263205227842
SaO2,0.37998616555222503,0.25232196482196484,0.3333333333333333,0.16666666666666666,-0.1276642007302602,0.1276642007302602
Hct,0.30794660894660897,0.18730571194841442,0.2,0.16666666666666666,-0.12064089699819455,0.12064089699819455
Hgb,0.29466801482979443,0.18563631140476872,0.2,0.16666666666666666,-0.10903170342502572,0.10903170342502572
BaseExcess,0.44061040693795867,0.33522906793048973,0.3333333333333333,0.25,-0.10538133900746893,0.10538133900746893
WBC,0.27384295960739896,0.17940591027407746,0.2,0.16666666666666666,-0.0944370493333215,0.0944370493333215
BUN,0.26971309657831,0.17931688337273446,0.2,0.16666666666666666,-0.09039621320557553,0.09039621320557553
HR,0.8647891222055568,0.7783708964822997,0.8333333333333334,0.8333333333333334,-0.08641822572325708,0.08641822572325708
MAP,0.8501985191544157,0.7732616507900292,0.8333333333333334,0.8333333333333334,-0.07693686836438651,0.07693686836438651
SBP,0.8448603299587552,0.7689055144586416,0.8333333333333334,0.8333333333333334,-0.07595481550011352,0.07595481550011352
O2Sat,0.8416567983636561,0.7688971742543173,0.8333333333333334,0.8333333333333334,-0.0727596241093389,0.0727596241093389
HCO3,0.269873920552677,0.3420335429769392,0.2,0.2,0.07215962242426222,0.07215962242426222
Potassium,0.2916155908829726,0.22206786651668536,0.2,0.16666666666666666,-0.06954772436628726,0.06954772436628726
Temp,0.41333862838540136,0.3481699023123532,0.3333333333333333,0.16666666666666666,-0.06516872607304819,0.06516872607304819
PTT,0.2443567094932191,0.18073793490460158,0.2,0.16666666666666666,-0.06361877458861753,0.06361877458861753
DBP,0.8309786223277909,0.7687329522101409,0.8333333333333334,0.8333333333333334,-0.06224567011764992,0.06224567011764992
Magnesium,0.23923573975044563,0.1787865046254308,0.16666666666666666,0.16666666666666666,-0.06044923512501482,0.06044923512501482
Platelets,0.24015299292407727,0.18037974683544303,0.16666666666666666,0.16666666666666666,-0.05977324608863424,0.05977324608863424
Lactate,0.3154263963732786,0.26459150326797387,0.2,0.16666666666666666,-0.0508348931053047,0.0508348931053047
Creatinine,0.2297859713607474,0.1793628536285363,0.16666666666666666,0.16666666666666666,-0.050423117732211115,0.050423117732211115
Alkalinephos,0.2244305901911887,0.17411092684724525,0.16666666666666666,0.16666666666666666,-0.050319663343943444,0.050319663343943444
AST,0.2237420615534929,0.17411298497834302,0.16666666666666666,0.16666666666666666,-0.049629076575149894,0.049629076575149894
Phosphate,0.20285280119272894,0.1792143808255659,0.16666666666666666,0.16666666666666666,-0.023638420367163043,0.023638420367163043
Chloride,0.2717239119939306,0.25405679513184587,0.2,0.16666666666666666,-0.01766711686208472,0.01766711686208472
Calcium,0.2024729344729345,0.21396046593716905,0.16666666666666666,0.16666666666666666,0.011487531464234563,0.011487531464234563
Glucose,0.32486311672683515,0.32258929275408027,0.2,0.2,-0.002273823972754885,0.002273823972754885
