feature,n_observed_system_a,n_observed_system_b,median_system_a,median_system_b,mean_system_a,mean_system_b,standardized_mean_difference,absolute_smd,ks_statistic
Calcium__last,5850,8499,8.3,8.2,8.317666666666666,6.537710318861041,-0.730222935038391,0.730222935038391,0.2939946479374647
SaO2__last,4337,3108,97.0,97.9,90.48458611943741,97.07543436293435,0.7090882565365434,0.7090882565365434,0.32753945354821534
BaseExcess__last,8994,211,-1.0,-2.7,-0.9310373582388258,-3.067061611374408,-0.5222622793181639,0.5222622793181639,0.30589429287771625
MAP__last,18638,17531,77.0,84.0,78.39060628822835,86.33731675318008,0.508369490238557,0.508369490238557,0.20640795616911845
DBP__last,10525,17842,59.5,65.0,60.69418052256532,66.5790981952696,0.45464260647908894,0.45464260647908894,0.1866165691404173
SBP__last,17780,17844,116.0,123.0,118.82230539932507,125.76654057386236,0.30765567742252453,0.30765567742252453,0.13218550270321794
Alkalinephos__last,2005,3618,81.0,69.0,114.08054862842893,87.5444997236042,-0.2178573556632031,0.2178573556632031,0.13931009954384355
WBC__last,8830,6531,11.4,9.7,12.6249456398641,10.958894503138877,-0.17642817954574133,0.17642817954574133,0.15538887365821996
FiO2__last,9359,3576,0.5,0.4,0.5475681162517363,0.5126202460850112,-0.1696231408981657,0.1696231408981657,0.229531420425087
Creatinine__last,8706,6775,0.9,0.98,1.3170572019297035,1.6362745387453874,0.16619105244144083,0.16619105244144083,0.14826554702487066
AST__last,2047,3617,42.0,28.0,217.0627747923791,115.41733480785182,-0.15457975224663908,0.15457975224663908,0.19242060945713255
Hct__last,11550,6927,31.5,32.8,31.85445454545454,32.766909195900105,0.14676521734827574,0.14676521734827574,0.12660925908219112
HCO3__last,9650,159,24.0,23.2,23.474715025906736,22.962893081761006,-0.14035637608311297,0.14035637608311297,0.17309153713298792
Phosphate__last,5813,3755,3.5,3.3,3.6959143299501114,3.517070572569907,-0.12997997234736045,0.12997997234736045,0.07057165364467309
O2Sat__last,18578,17836,99.0,98.0,97.82040585638927,97.48071316438663,-0.11653551963081728,0.11653551963081728,0.08107025696570941
Age,18699,17982,64.85,62.0,62.75150435852185,60.92698253809365,-0.11138629915370306,0.11138629915370306,0.08588726701994798
Chloride__last,9666,986,107.0,106.0,106.61090420028968,106.05831643002028,-0.10278824668744298,0.10278824668744298,0.12948105674770605
Hgb__last,9890,6962,10.8,10.7,10.922574317492415,10.759024705544384,-0.07520522662269993,0.07520522662269993,0.10554110149884872
PaCO2__last,8715,3665,41.0,39.2,41.215203671830174,40.54478854024557,-0.07273078415880027,0.07273078415880027,0.08792182959082481
Lactate__last,3897,3060,1.9,1.85,2.3959712599435465,2.538032679738562,0.0704466132109696,0.0704466132109696,0.04229875167927063
Glucose__last,11080,12683,132.0,129.0,144.34101985559568,140.44327051959317,-0.07012199706273656,0.07012199706273656,0.040170389255807626
Platelets__last,8715,6636,196.0,196.0,214.80636833046472,208.0384267631103,-0.06602452291230995,0.06602452291230995,0.023491070974676283
Resp__last,18562,17310,17.0,18.0,17.91784290485939,18.24367417677643,0.06505603693977866,0.06505603693977866,0.10802036125935402
HospAdmTime,18699,17982,-2.82,-8.934999999999999,-47.913942991603825,-56.386938605271936,-0.061320895740022245,0.061320895740022245,0.3164966399631355
HR__last,18668,17881,83.0,82.0,84.5462824083994,83.47894413064147,-0.06100147614191286,0.06100147614191286,0.03732212221724829
Temp__last,16997,16174,36.72,36.7,36.76443960698946,36.71967045876097,-0.060666711181183136,0.060666711181183136,0.07294186852299067
pH__last,9214,3662,7.37,7.37,7.371980681571521,7.368110322228292,-0.053268112080577225,0.053268112080577225,0.03832003800167792
Potassium__last,10442,8890,4.1,4.0,4.1174200344761545,4.084067491563554,-0.05035435913263406,0.05035435913263406,0.03255723565104063
PTT__last,7472,2376,31.9,31.3,37.88595289079229,38.89943181818181,0.039561768833761356,0.039561768833761356,0.07609328473889501
Magnesium__last,7480,5513,1.9,1.9,1.9426270053475936,1.957427897696354,0.033770311028134437,0.033770311028134437,0.05844743731636744
BUN__last,9771,6768,17.0,16.0,23.03448981680483,22.646867612293143,-0.019338685133876137,0.019338685133876137,0.06262021752022014
