feature,system,n_observed,minimum,p01,p05,median,p95,p99,maximum
Calcium__last,A,5850,4.7,6.149,6.9,8.3,9.7,11.0,17.5
Calcium__last,B,8499,1.0,1.04,1.11,8.2,9.5,10.4,20.6
SaO2__last,A,4337,24.0,51.0,62.0,97.0,99.0,99.0,100.0
SaO2__last,B,3108,45.2,85.821,92.235,97.9,99.6,99.9,100.0
BaseExcess__last,A,8994,-25.0,-12.0,-7.0,-1.0,6.0,11.0,36.0
BaseExcess__last,B,211,-23.2,-16.11,-9.8,-2.7,2.8,5.270000000000008,9.0
MAP__last,A,18638,20.0,51.0,58.0,77.0,104.0,119.20790000000034,250.0
MAP__last,B,17531,31.0,55.0,63.0,84.0,116.0,133.0,231.5
DBP__last,A,10525,23.0,37.0,44.0,59.5,81.0,95.0,183.0
DBP__last,B,17842,20.0,39.0,47.0,65.0,91.0,105.0,168.0
SBP__last,A,17780,35.0,81.0,90.0,116.0,157.0,177.0,219.5
SBP__last,B,17844,30.0,80.0,91.0,123.0,169.0,190.0,275.0
Alkalinephos__last,A,2005,15.0,28.0,38.0,81.0,284.5999999999999,582.96,3833.0
Alkalinephos__last,B,3618,11.0,23.0,34.0,69.0,188.0,395.8299999999999,1650.0
WBC__last,A,8830,0.1,2.6145000000000005,4.9,11.4,23.4,33.8,422.9
WBC__last,B,6531,0.1,2.5,4.3,9.7,20.55,29.769999999999982,440.0
FiO2__last,A,9359,0.0,0.3,0.4,0.5,1.0,1.0,1.0
FiO2__last,B,3576,0.04,0.21,0.21,0.4,1.0,1.0,1.0
Creatinine__last,A,8706,0.1,0.4,0.5,0.9,4.0,8.4,21.4
Creatinine__last,B,6775,0.2,0.39,0.52,0.98,5.712999999999993,12.398200000000015,41.9
