risk_decile,patients,events,mean_predicted_risk,observed_event_rate,model
1,1870,8,0.004966482671373254,0.0042780748663101605,Ridge Logistic Regression
2,1870,17,0.007413937220013163,0.00909090909090909,Ridge Logistic Regression
3,1870,15,0.009364411657858859,0.008021390374331552,Ridge Logistic Regression
4,1870,24,0.011374569334509822,0.012834224598930482,Ridge Logistic Regression
5,1870,27,0.013695620468940446,0.014438502673796792,Ridge Logistic Regression
6,1869,34,0.01621898277709489,0.01819154628143392,Ridge Logistic Regression
7,1870,42,0.019356311085997994,0.022459893048128343,Ridge Logistic Regression
8,1870,44,0.023730447888489162,0.023529411764705882,Ridge Logistic Regression
9,1870,68,0.031376260020003176,0.03636363636363636,Ridge Logistic Regression
10,1870,92,0.06129054642467948,0.04919786096256684,Ridge Logistic Regression
1,1870,11,0.005412309014926844,0.0058823529411764705,Elastic-Net Logistic Regression
2,1870,15,0.007789094265417112,0.008021390374331552,Elastic-Net Logistic Regression
3,1870,16,0.009640362242524288,0.008556149732620321,Elastic-Net Logistic Regression
4,1870,20,0.011664343928670766,0.0106951871657754,Elastic-Net Logistic Regression
5,1870,20,0.013810828623930972,0.0106951871657754,Elastic-Net Logistic Regression
6,1869,39,0.016282393853260597,0.02086677367576244,Elastic-Net Logistic Regression
7,1870,47,0.019332945336588924,0.025133689839572194,Elastic-Net Logistic Regression
8,1870,38,0.023617930318770426,0.020320855614973262,Elastic-Net Logistic Regression
9,1870,68,0.031089016954350384,0.03636363636363636,Elastic-Net Logistic Regression
10,1870,97,0.059935135295648666,0.051871657754010696,Elastic-Net Logistic Regression
1,1870,8,0.005950096873162921,0.0042780748663101605,LightGBM
2,1870,14,0.008367604656616227,0.0074866310160427805,LightGBM
3,1870,19,0.010314063763877267,0.010160427807486631,LightGBM
4,1870,25,0.012270660668426829,0.013368983957219251,LightGBM
5,1870,22,0.014321962957322252,0.011764705882352941,LightGBM
6,1869,25,0.016773729194129002,0.01337613697164259,LightGBM
7,1870,47,0.019505624610251765,0.025133689839572194,LightGBM
8,1870,52,0.023466195282756282,0.027807486631016044,LightGBM
9,1870,63,0.030394681694813738,0.033689839572192515,LightGBM
10,1870,96,0.05665831421702807,0.051336898395721926,LightGBM
