risk_decile,patients,events,mean_predicted_risk,observed_event_rate,minimum_predicted_risk,maximum_predicted_risk,model
1,1799,10,0.005299876516576901,0.005558643690939411,0.0008371534666472721,0.006602898348526083,Ridge Logistic Regression
2,1798,12,0.007459367521465366,0.006674082313681869,0.00660722543932684,0.008232758966648613,Ridge Logistic Regression
3,1798,9,0.008983327850295798,0.005005561735261402,0.008232760414676233,0.009707139222354489,Ridge Logistic Regression
4,1798,17,0.01046932262652855,0.009454949944382647,0.009707264469954882,0.011242575669696548,Ridge Logistic Regression
5,1798,12,0.012125497062179259,0.006674082313681869,0.011242680674884988,0.013061381515175441,Ridge Logistic Regression
6,1798,15,0.01405970310050356,0.008342602892102336,0.013061392468590574,0.015131863421341181,Ridge Logistic Regression
7,1798,17,0.016414954957625655,0.009454949944382647,0.015132030575447266,0.017873999046819352,Ridge Logistic Regression
8,1798,25,0.020045078834083605,0.013904338153503892,0.01787404780948217,0.02273466566293183,Ridge Logistic Regression
9,1798,26,0.027195987960379253,0.014460511679644048,0.022742847728621188,0.03297395084329123,Ridge Logistic Regression
10,1799,32,0.05237476206344617,0.017787659811006114,0.032978272256288514,0.6094401515220446,Ridge Logistic Regression
1,1799,9,0.004488757596680749,0.005002779321845469,0.0008591677120247822,0.005666721696233211,Elastic-Net Logistic Regression
2,1798,10,0.006470462313208736,0.0055617352614015575,0.005669609331214163,0.007216488226840211,Elastic-Net Logistic Regression
3,1798,12,0.007918818201931877,0.006674082313681869,0.007216821408750846,0.008657194029418943,Elastic-Net Logistic Regression
4,1798,14,0.009420848336722326,0.00778642936596218,0.008658142400081878,0.01020712861528033,Elastic-Net Logistic Regression
5,1798,14,0.011043196694924443,0.00778642936596218,0.01020914704976032,0.011912787615876623,Elastic-Net Logistic Regression
6,1798,17,0.012923929136293451,0.009454949944382647,0.011914612235784917,0.014051843619510673,Elastic-Net Logistic Regression
7,1798,22,0.015318771517528605,0.012235817575083427,0.014051908606445857,0.016653220858676918,Elastic-Net Logistic Regression
8,1798,14,0.018198490761312303,0.00778642936596218,0.016653372652377235,0.020134816220215634,Elastic-Net Logistic Regression
9,1798,29,0.023135040642733848,0.016129032258064516,0.02014014208583645,0.02708624640931859,Elastic-Net Logistic Regression
10,1799,34,0.04308119748693941,0.018899388549193995,0.027093256340019863,0.6286160711072754,Elastic-Net Logistic Regression
1,1799,2,0.006795116144418937,0.0011117287381878821,0.0028509979992989857,0.00823790051328712,LightGBM
2,1798,8,0.009107574915497364,0.004449388209121246,0.00823826589619797,0.009938592174530766,LightGBM
3,1798,12,0.010723772172408849,0.006674082313681869,0.009939248720014643,0.011500872993356023,LightGBM
4,1798,19,0.012166602783895879,0.010567296996662959,0.011502448851307854,0.012823462799153747,LightGBM
5,1798,13,0.01350406579630158,0.007230255839822024,0.012825656136332906,0.014225099515066826,LightGBM
6,1798,17,0.015078165927472794,0.009454949944382647,0.014226340518274915,0.01596212276588518,LightGBM
7,1798,22,0.017033840809096354,0.012235817575083427,0.01596301984365847,0.018111900235523448,LightGBM
8,1798,15,0.019401120098020107,0.008342602892102336,0.018112587570972345,0.020919485845837454,LightGBM
9,1798,20,0.023371425245672827,0.011123470522803115,0.020920329617874326,0.026639728733786085,LightGBM
10,1799,47,0.03849269994528409,0.02612562534741523,0.02664370826297994,0.2798957311749429,LightGBM
