model,metric,estimate,lower_95_ci,upper_95_ci
Ridge Logistic Regression,Brier_score,0.009881557525751112,0.008491147889561804,0.01131490465940009
Ridge Logistic Regression,log_loss,0.0567426754017163,0.05087841339209044,0.0627163487597804
Ridge Logistic Regression,AUROC,0.6098362602186941,0.5669357113750245,0.6507923720505677
Ridge Logistic Regression,AUPRC,0.015569832491353849,0.012081421438354856,0.02284231386057652
Ridge Logistic Regression,calibration_in_the_large,-0.5999912606029632,-0.7638322942115083,-0.4575372799438897
Ridge Logistic Regression,calibration_intercept,-2.36423483016259,-3.192932261681451,-1.6560092696028474
Ridge Logistic Regression,calibration_slope,0.5455217139038256,0.351817177654139,0.7232420229064135
Elastic-Net Logistic Regression,Brier_score,0.009791044154072745,0.00839735549827814,0.011226649315156179
Elastic-Net Logistic Regression,log_loss,0.05545898185843386,0.04948954270343599,0.06166512630854706
Elastic-Net Logistic Regression,AUROC,0.6170927965727764,0.5736493489173197,0.6593935064449714
Elastic-Net Logistic Regression,AUPRC,0.01650471867275815,0.012683509772836664,0.023419261330136863
Elastic-Net Logistic Regression,calibration_in_the_large,-0.4575698487973026,-0.6211559852927189,-0.3138582642971801
Elastic-Net Logistic Regression,calibration_intercept,-1.999667743549621,-2.865782496448969,-1.2559871230088127
Elastic-Net Logistic Regression,calibration_slope,0.6161110135590037,0.42121165234273583,0.8005537985625223
LightGBM,Brier_score,0.009670266598734942,0.00828367600820417,0.011111417303968378
LightGBM,log_loss,0.054842554610269316,0.0490830288446128,0.06080282164889489
LightGBM,AUROC,0.653790724353986,0.6125690804031715,0.6927414126322228
LightGBM,AUPRC,0.0205403098889247,0.015331692418055926,0.028750707234647392
LightGBM,calibration_in_the_large,-0.5417156557443521,-0.703613997697954,-0.39899708320770466
LightGBM,calibration_intercept,-0.266115816811215,-1.2911969698010315,0.639234791326974
LightGBM,calibration_slope,1.0701088570457662,0.8177288270113992,1.3020595597616127
