model,strategy,metric,estimate,lower_95_ci,upper_95_ci,bootstrap_replicates
Ridge Logistic Regression,Intercept only,delta_Brier,-0.00019606423986199238,-0.0002475819984464354,-0.00014395561990286743,2000
Ridge Logistic Regression,Intercept only,delta_log_loss,-0.0020950187378360463,-0.0029648288596379447,-0.0012232642121404766,2000
Ridge Logistic Regression,Intercept only,delta_AUROC,9.947933798160058e-06,-6.194126138920342e-05,8.340024309984316e-05,2000
Ridge Logistic Regression,Intercept only,delta_AUPRC,9.444326991899649e-07,-4.742411210817595e-06,6.325200737983343e-06,2000
Ridge Logistic Regression,Intercept + slope,delta_Brier,-0.0002570254163922932,-0.00034993845687895464,-0.00017101881815080307,2000
Ridge Logistic Regression,Intercept + slope,delta_log_loss,-0.0026501626729733274,-0.0036200080199043855,-0.0016838733204389664,2000
Ridge Logistic Regression,Intercept + slope,delta_AUROC,-0.001803143226179138,-0.0041407992718967696,0.000646719519989338,2000
Ridge Logistic Regression,Intercept + slope,delta_AUPRC,-0.0002619009397084506,-0.0009078764623240448,6.693027141847771e-05,2000
Elastic-Net Logistic Regression,Intercept only,delta_Brier,-0.00010829108618826133,-0.0001466775888879958,-7.056531061232651e-05,2000
Elastic-Net Logistic Regression,Intercept only,delta_log_loss,-0.0011602607224284536,-0.0018215176846242207,-0.000491794724276315,2000
Elastic-Net Logistic Regression,Intercept only,delta_AUROC,-1.155243924932936e-05,-0.00014911521733631527,0.00013042320748766467,2000
Elastic-Net Logistic Regression,Intercept only,delta_AUPRC,-1.1830769874564273e-06,-1.8201375597009553e-05,1.1660713096654862e-05,2000
Elastic-Net Logistic Regression,Intercept + slope,delta_Brier,-0.0001681626333646987,-0.00024928005398074717,-9.448079526222924e-05,2000
Elastic-Net Logistic Regression,Intercept + slope,delta_log_loss,-0.0015202672553595864,-0.0022928601111112602,-0.0007589423677032127,2000
Elastic-Net Logistic Regression,Intercept + slope,delta_AUROC,-0.0018599427191553497,-0.003824888990703912,0.0003375454693214886,2000
Elastic-Net Logistic Regression,Intercept + slope,delta_AUPRC,-0.00025247584490083533,-0.0009681117023390948,0.0001948008098381168,2000
LightGBM,Intercept only,delta_Brier,-6.514292855952682e-05,-9.621140302915618e-05,-3.338121299488614e-05,2000
LightGBM,Intercept only,delta_log_loss,-0.0016909911002762068,-0.0024681635943626886,-0.0008916524842931265,2000
LightGBM,Intercept only,delta_AUROC,-9.145681072464384e-06,-0.00015549710988552735,0.00014747729742746983,2000
LightGBM,Intercept only,delta_AUPRC,-6.25739155961022e-06,-3.4409503862795585e-05,1.237915666863417e-05,2000
LightGBM,Intercept + slope,delta_Brier,-6.297303655004166e-05,-9.165808293302817e-05,-3.334955753588756e-05,2000
LightGBM,Intercept + slope,delta_log_loss,-0.001676776695143059,-0.002471447920270411,-0.000881049109137165,2000
LightGBM,Intercept + slope,delta_AUROC,-0.0016130093301991444,-0.002893909943249287,-0.00034631460675972896,2000
LightGBM,Intercept + slope,delta_AUPRC,-5.303668895524291e-05,-0.00043409468298814786,0.00048041877661706697,2000
