model,strategy,risk_bin,patients,events,mean_predicted_risk,observed_event_rate
Ridge Logistic Regression,Original,0,1799,10,0.005299876516576852,0.005558643690939411
Ridge Logistic Regression,Original,1,1798,12,0.007459367521465317,0.006674082313681869
Ridge Logistic Regression,Original,2,1798,9,0.008983327850295751,0.005005561735261402
Ridge Logistic Regression,Original,3,1798,17,0.010469322626528499,0.009454949944382647
Ridge Logistic Regression,Original,4,1798,12,0.012125497062179207,0.006674082313681869
Ridge Logistic Regression,Original,5,1798,15,0.014059703100503512,0.008342602892102336
Ridge Logistic Regression,Original,6,1798,17,0.016414954957625606,0.009454949944382647
Ridge Logistic Regression,Original,7,1798,25,0.02004507883408356,0.013904338153503892
Ridge Logistic Regression,Original,8,1798,26,0.027195987960379205,0.014460511679644048
Ridge Logistic Regression,Original,9,1799,32,0.05237476206344613,0.017787659811006114
Ridge Logistic Regression,Intercept only,0,1799,10,0.0029158960356293166,0.005558643690939411
Ridge Logistic Regression,Intercept only,1,1798,12,0.004107752031122092,0.006674082313681869
Ridge Logistic Regression,Intercept only,2,1798,10,0.0049503870395149925,0.0055617352614015575
Ridge Logistic Regression,Intercept only,3,1798,16,0.005772854122013939,0.008898776418242492
Ridge Logistic Regression,Intercept only,4,1798,12,0.006691203405963908,0.006674082313681869
Ridge Logistic Regression,Intercept only,5,1798,15,0.007765727126645916,0.008342602892102336
Ridge Logistic Regression,Intercept only,6,1798,17,0.00907613653431801,0.009454949944382647
Ridge Logistic Regression,Intercept only,7,1798,25,0.011102013520623262,0.013904338153503892
Ridge Logistic Regression,Intercept only,8,1798,26,0.01511337213845123,0.014460511679644048
Ridge Logistic Regression,Intercept only,9,1799,32,0.02981700481598684,0.017787659811006114
Ridge Logistic Regression,Intercept + slope,0,1799,8,0.005327715320294408,0.0044469149527515284
Ridge Logistic Regression,Intercept + slope,1,1798,13,0.006484566574451461,0.007230255839822024
Ridge Logistic Regression,Intercept + slope,2,1798,15,0.007190479191296516,0.008342602892102336
Ridge Logistic Regression,Intercept + slope,3,1798,13,0.0078087284276928135,0.007230255839822024
Ridge Logistic Regression,Intercept + slope,4,1798,11,0.008459738888539467,0.006117908787541713
Ridge Logistic Regression,Intercept + slope,5,1798,15,0.00917003037823929,0.008342602892102336
Ridge Logistic Regression,Intercept + slope,6,1798,17,0.009977355082659794,0.009454949944382647
Ridge Logistic Regression,Intercept + slope,7,1798,26,0.011122874446317214,0.014460511679644048
Ridge Logistic Regression,Intercept + slope,8,1798,25,0.013151464781416563,0.013904338153503892
Ridge Logistic Regression,Intercept + slope,9,1799,32,0.018627697213715756,0.017787659811006114
Elastic-Net Logistic Regression,Original,0,1799,9,0.0044887575966807,0.005002779321845469
Elastic-Net Logistic Regression,Original,1,1798,10,0.006470462313208685,0.0055617352614015575
Elastic-Net Logistic Regression,Original,2,1798,12,0.007918818201931827,0.006674082313681869
Elastic-Net Logistic Regression,Original,3,1798,14,0.009420848336722276,0.00778642936596218
Elastic-Net Logistic Regression,Original,4,1798,14,0.011043196694924392,0.00778642936596218
Elastic-Net Logistic Regression,Original,5,1798,17,0.012923929136293404,0.009454949944382647
Elastic-Net Logistic Regression,Original,6,1798,22,0.015318771517528557,0.012235817575083427
Elastic-Net Logistic Regression,Original,7,1798,14,0.018198490761312254,0.00778642936596218
Elastic-Net Logistic Regression,Original,8,1798,29,0.0231350406427338,0.016129032258064516
Elastic-Net Logistic Regression,Original,9,1799,34,0.04308119748693936,0.018899388549193995
Elastic-Net Logistic Regression,Intercept only,0,1799,8,0.002845437985720241,0.0044469149527515284
Elastic-Net Logistic Regression,Intercept only,1,1798,11,0.004104465227471734,0.006117908787541713
Elastic-Net Logistic Regression,Intercept only,2,1798,12,0.005025855738085,0.006674082313681869
Elastic-Net Logistic Regression,Intercept only,3,1798,14,0.00598187729042541,0.00778642936596218
Elastic-Net Logistic Regression,Intercept only,4,1798,14,0.007017124630739586,0.00778642936596218
Elastic-Net Logistic Regression,Intercept only,5,1798,17,0.0082174533522714,0.009454949944382647
Elastic-Net Logistic Regression,Intercept only,6,1798,22,0.00974845511285129,0.012235817575083427
Elastic-Net Logistic Regression,Intercept only,7,1798,14,0.011594846539039536,0.00778642936596218
Elastic-Net Logistic Regression,Intercept only,8,1798,28,0.014767952289306992,0.01557285873192436
Elastic-Net Logistic Regression,Intercept only,9,1799,35,0.028010751562689534,0.019455252918287938
Elastic-Net Logistic Regression,Intercept + slope,0,1799,9,0.004789774400296863,0.005002779321845469
Elastic-Net Logistic Regression,Intercept + slope,1,1798,11,0.006055440694037389,0.006117908787541713
Elastic-Net Logistic Regression,Intercept + slope,2,1798,12,0.006876713020516668,0.006674082313681869
Elastic-Net Logistic Regression,Intercept + slope,3,1798,15,0.007633456842158558,0.008342602892102336
Elastic-Net Logistic Regression,Intercept + slope,4,1798,12,0.008427821412763782,0.006674082313681869
Elastic-Net Logistic Regression,Intercept + slope,5,1798,17,0.009277050930649709,0.009454949944382647
Elastic-Net Logistic Regression,Intercept + slope,6,1798,22,0.010298689602590942,0.012235817575083427
Elastic-Net Logistic Regression,Intercept + slope,7,1798,14,0.011452156600159212,0.00778642936596218
Elastic-Net Logistic Regression,Intercept + slope,8,1798,28,0.013278656373120324,0.01557285873192436
Elastic-Net Logistic Regression,Intercept + slope,9,1799,35,0.019226671130228128,0.019455252918287938
LightGBM,Original,0,1799,2,0.006795116144418887,0.0011117287381878821
LightGBM,Original,1,1798,8,0.009107574915497314,0.004449388209121246
LightGBM,Original,2,1798,12,0.0107237721724088,0.006674082313681869
LightGBM,Original,3,1798,19,0.01216660278389583,0.010567296996662959
LightGBM,Original,4,1798,13,0.013504065796301533,0.007230255839822024
LightGBM,Original,5,1798,17,0.015078165927472744,0.009454949944382647
LightGBM,Original,6,1798,22,0.017033840809096305,0.012235817575083427
LightGBM,Original,7,1798,15,0.019401120098020055,0.008342602892102336
LightGBM,Original,8,1798,20,0.023371425245672775,0.011123470522803115
LightGBM,Original,9,1799,47,0.038492699945284044,0.02612562534741523
LightGBM,Intercept only,0,1799,2,0.003964337025693113,0.0011117287381878821
LightGBM,Intercept only,1,1798,8,0.00531843928597391,0.004449388209121246
LightGBM,Intercept only,2,1798,12,0.0062666654600315175,0.006674082313681869
LightGBM,Intercept only,3,1798,19,0.00711435711866324,0.010567296996662959
LightGBM,Intercept only,4,1798,13,0.00790066732315429,0.007230255839822024
LightGBM,Intercept only,5,1798,17,0.008827647546353897,0.009454949944382647
LightGBM,Intercept only,6,1798,22,0.009980544964230684,0.012235817575083427
LightGBM,Intercept only,7,1798,15,0.01137909290847101,0.008342602892102336
LightGBM,Intercept only,8,1798,20,0.013731709140376353,0.011123470522803115
LightGBM,Intercept only,9,1799,47,0.022833032556869786,0.02612562534741523
LightGBM,Intercept + slope,0,1799,2,0.003679948198923127,0.0011117287381878821
LightGBM,Intercept + slope,1,1798,9,0.005051789065257444,0.005005561735261402
LightGBM,Intercept + slope,2,1798,12,0.0060196457602689525,0.006674082313681869
LightGBM,Intercept + slope,3,1798,19,0.006889893013090924,0.010567296996662959
LightGBM,Intercept + slope,4,1798,12,0.00771202360944939,0.006674082313681869
LightGBM,Intercept + slope,5,1798,17,0.008673008095516355,0.009454949944382647
LightGBM,Intercept + slope,6,1798,22,0.009896857942934113,0.012235817575083427
LightGBM,Intercept + slope,7,1798,15,0.01138362747365331,0.008342602892102336
LightGBM,Intercept + slope,8,1798,20,0.013922205017282361,0.011123470522803115
LightGBM,Intercept + slope,9,1799,47,0.024094077186990075,0.02612562534741523
