model,fold,training_patients,training_events,intercept_only_alpha,intercept_slope_alpha,intercept_slope_beta
Ridge Logistic Regression,1,14385,140,-0.5997459117962204,-2.158884437503596,0.5967408679635894
Ridge Logistic Regression,2,14385,140,-0.5999293166230149,-2.634395829617813,0.47853700426372836
Ridge Logistic Regression,3,14386,140,-0.5998559721237159,-2.4640787459407902,0.5207024866309456
Ridge Logistic Regression,4,14386,140,-0.6015540307877701,-2.3167144545980602,0.5574167718504361
Ridge Logistic Regression,5,14386,140,-0.5988709469152085,-2.266261533591403,0.5699739199308343
Elastic-Net Logistic Regression,1,14385,140,-0.4588655278728884,-1.8070776328479892,0.663042102600532
Elastic-Net Logistic Regression,2,14385,140,-0.4580925868566552,-2.323782617421739,0.5378887953407149
Elastic-Net Logistic Regression,3,14386,140,-0.4574133422886024,-2.077752379711115,0.5972032478549512
Elastic-Net Logistic Regression,4,14386,140,-0.4595341898188409,-1.9134899780150563,0.6371754680718476
Elastic-Net Logistic Regression,5,14386,140,-0.4539420966205616,-1.8996408455364922,0.640144057426705
LightGBM,1,14385,140,-0.542317613970532,-0.10286272822646854,1.1119901929136378
LightGBM,2,14385,140,-0.5419702687722479,-0.46775340513475433,1.018839965027718
LightGBM,3,14386,140,-0.5430311589006663,-0.4259467590465296,1.0297495053642902
LightGBM,4,14386,140,-0.5388661444125304,-0.10909904006221806,1.109453060146302
LightGBM,5,14386,140,-0.5423875852640938,-0.2358436223833792,1.0780056642030706
