dimension,contrast,model,delta_AUROC,lower_95_ci,upper_95_ci,bootstrap_replicates
Age,Age >=65 minus Age <65,Ridge Logistic Regression,0.007274512087421692,-0.07234419676281169,0.09335867278822035,2000
Age,Age >=65 minus Age <65,Elastic-Net Logistic Regression,0.023437496402409108,-0.055748732159363976,0.11098954645019289,2000
Age,Age >=65 minus Age <65,LightGBM,0.06757751075854668,-0.009559236843052155,0.15064529248832634,2000
Gender,Gender = 1 minus Gender = 0,Ridge Logistic Regression,-0.006452152261736566,-0.08780020825909428,0.08059000668439895,2000
Gender,Gender = 1 minus Gender = 0,Elastic-Net Logistic Regression,0.0012038548049801978,-0.08167078064157983,0.0843503823589915,2000
Gender,Gender = 1 minus Gender = 0,LightGBM,0.02545215415311275,-0.05653151284947185,0.10654232951348842,2000
ICU unit,Unit2 minus Unit1,Ridge Logistic Regression,-0.06579870144531352,-0.1597319324445595,0.035555057374565845,2000
ICU unit,Unit2 minus Unit1,Elastic-Net Logistic Regression,-0.045877064724198724,-0.14260455078230144,0.05610765950301483,2000
ICU unit,Unit2 minus Unit1,LightGBM,0.020346104588922942,-0.07386451808208166,0.11676400214265714,2000
ICU unit,Unknown minus Unit1,Ridge Logistic Regression,-0.13096453160848887,-0.23242180529202652,-0.025014054807398475,2000
ICU unit,Unknown minus Unit1,Elastic-Net Logistic Regression,-0.11266964186837736,-0.22140684926352058,-0.008445415428975032,2000
ICU unit,Unknown minus Unit1,LightGBM,-0.09694529486181347,-0.19985157721731905,0.002268128021190434,2000
ICU unit,Unknown minus Unit2,Ridge Logistic Regression,-0.06516583016317534,-0.183192234482796,0.054719614357730116,2000
ICU unit,Unknown minus Unit2,Elastic-Net Logistic Regression,-0.06679257714417863,-0.1827945847991922,0.04308588677491328,2000
ICU unit,Unknown minus Unit2,LightGBM,-0.11729139945073641,-0.23108992809724488,-0.006530976416791629,2000
