dimension,subgroup,model,metric,estimate,lower_95_ci,upper_95_ci,bootstrap_replicates
Age,Age >=65,Ridge Logistic Regression,AUROC,0.6127636064973203,0.55478245281498,0.6719167455440043,1000
Age,Age >=65,Ridge Logistic Regression,AUPRC,0.016761964030673895,0.011983596321396353,0.0293499787348828,1000
Age,Age >=65,Ridge Logistic Regression,calibration_in_the_large,-0.5505885943376535,-0.7737224955637225,-0.3529516472926861,1000
Age,Age >=65,Ridge Logistic Regression,calibration_slope,0.5600365719850341,0.28204344299240197,0.8320665430370665,1000
Age,Age >=65,Elastic-Net Logistic Regression,AUROC,0.6287868044599649,0.5720325109835367,0.68229751290077,1000
Age,Age >=65,Elastic-Net Logistic Regression,AUPRC,0.019281748741652328,0.013332976125570278,0.033405613675052424,1000
Age,Age >=65,Elastic-Net Logistic Regression,calibration_in_the_large,-0.3938620131725412,-0.6137340878310082,-0.19655863903703819,1000
Age,Age >=65,Elastic-Net Logistic Regression,calibration_slope,0.7037420009642896,0.4180386153632667,1.008005095452562,1000
Age,Age >=65,LightGBM,AUROC,0.6895529399251946,0.6340119753611817,0.7416482588723075,1000
Age,Age >=65,LightGBM,AUPRC,0.022170946135798023,0.015772720163932028,0.034229664673260864,1000
Age,Age >=65,LightGBM,calibration_in_the_large,-0.458802304319551,-0.678025625825089,-0.26387587194122564,1000
Age,Age >=65,LightGBM,calibration_slope,1.2224125005424482,0.8781330431209503,1.5579322874080936,1000
Age,Age <65,Ridge Logistic Regression,AUROC,0.6054890944098986,0.5376852867087566,0.6662258525478852,1000
Age,Age <65,Ridge Logistic Regression,AUPRC,0.015923997860103872,0.01082260142828661,0.03061570196381111,1000
Age,Age <65,Ridge Logistic Regression,calibration_in_the_large,-0.6436296872383481,-0.871609104159221,-0.4516526326170265,1000
Age,Age <65,Ridge Logistic Regression,calibration_slope,0.5319881495258562,0.23872472167503278,0.7997883056491577,1000
Age,Age <65,Elastic-Net Logistic Regression,AUROC,0.6053493080575558,0.5402527499279224,0.6655851838105848,1000
Age,Age <65,Elastic-Net Logistic Regression,AUPRC,0.015632113171140088,0.010898518233242189,0.02701471874803612,1000
Age,Age <65,Elastic-Net Logistic Regression,calibration_in_the_large,-0.5132699108670573,-0.7451308019094663,-0.32084074417227415,1000
Age,Age <65,Elastic-Net Logistic Regression,calibration_slope,0.5477682487411619,0.24693182944881945,0.7971572927028223,1000
Age,Age <65,LightGBM,AUROC,0.6219754291666479,0.5623495510392805,0.6782677573934152,1000
Age,Age <65,LightGBM,AUPRC,0.02081707070757644,0.013700863229770788,0.03595353540740587,1000
Age,Age <65,LightGBM,calibration_in_the_large,-0.6126988819964375,-0.8367387281427723,-0.4227771010587697,1000
Age,Age <65,LightGBM,calibration_slope,0.9622630533070642,0.5999038588883592,1.2900678150158822,1000
Gender,Gender = 1,Ridge Logistic Regression,AUROC,0.6066486317760899,0.5492249772022659,0.665896604265477,1000
Gender,Gender = 1,Ridge Logistic Regression,AUPRC,0.016787708667959055,0.011896825292481806,0.02765250907766703,1000
