dimension,subgroup,model,patients,events,event_rate,mean_predicted_risk,Brier_score,log_loss,AUROC,AUPRC,calibration_in_the_large,calibration_intercept,calibration_slope
Age,Age >=65,Ridge Logistic Regression,8143,84,0.010315608498096525,0.01763195612211807,0.01042406726437084,0.05907242986173747,0.6127636064973203,0.016761964030673895,-0.5505885943376535,-2.256388215165658,0.5600365719850341
Age,Age >=65,Elastic-Net Logistic Regression,8143,84,0.010315608498096525,0.015156467955297409,0.010300490051844136,0.05743143527382376,0.6287868044599649,0.019281748741652328,-0.3938620131725412,-1.5830741777700614,0.7037420009642896
Age,Age >=65,LightGBM,8143,84,0.010315608498096525,0.016191452065125622,0.010210707151795359,0.05664253763158452,0.6895529399251946,0.022170946135798023,-0.458802304319551,0.4183579590497252,1.2224125005424482
Age,Age <65,Ridge Logistic Regression,9839,91,0.009248907409289561,0.017288543700247683,0.00943256303428039,0.0548145129291121,0.6054890944098986,0.015923997860103872,-0.6436296872383481,-2.462571077759094,0.5319881495258562
Age,Age <65,Elastic-Net Logistic Regression,9839,91,0.009248907409289561,0.015237684237078535,0.009369414115902969,0.05382653057664505,0.6053493080575558,0.015632113171140088,-0.5132699108670573,-2.3316850977599404,0.5477682487411619
Age,Age <65,LightGBM,9839,91,0.009248907409289561,0.016879849150383017,0.009222984616463271,0.05335284409674455,0.6219754291666479,0.02081707070757644,-0.6126988819964375,-0.7606652302729299,0.9622630533070642
Gender,Gender = 1,Ridge Logistic Regression,9709,98,0.010093727469358327,0.01868376310747057,0.010297097078778092,0.05882730417471683,0.6066486317760899,0.016787708667959055,-0.6347498308234689,-2.406457816371196,0.5348464757795468
Gender,Gender = 1,Elastic-Net Logistic Regression,9709,98,0.010093727469358327,0.015865505644446647,0.01015720561078799,0.05712393071046158,0.6174610724531202,0.018504859078158443,-0.4646897602085291,-1.9446492022721091,0.6269727388372802
Gender,Gender = 1,LightGBM,9709,98,0.010093727469358327,0.01662734162195061,0.010016508118475664,0.056155056411402775,0.6649635090744237,0.022457859313164723,-0.5084792389640456,-0.12716260594344672,1.0972546052417211
Gender,Gender = 0,Ridge Logistic Regression,8273,77,0.009307385470808654,0.01598916283799258,0.009393889990354167,0.05429620365542565,0.6131007840378264,0.01591242949675893,-0.5542310895988983,-2.3015080399556442,0.5607828047700646
Gender,Gender = 0,Elastic-Net Logistic Regression,8273,77,0.009307385470808654,0.014420947596599787,0.009361325601764234,0.05350503668687127,0.61625721764814,0.01557129535019504,-0.4484607446000303,-2.0863334156581206,0.5986128941063982
Gender,Gender = 0,LightGBM,8273,77,0.009307385470808654,0.01649860632774302,0.009263925620231053,0.053302233083954174,0.639511354921311,0.01959867211974546,-0.5824575132928681,-0.4602186603323518,1.0309932156695938
ICU unit,Unit1,Ridge Logistic Regression,6194,76,0.012269938650306749,0.0197525067533821,0.012312934862613688,0.0663340969939032,0.6664974793964316,0.024473862707206945,-0.49119825945015916,-1.3404223165430034,0.7712906058939442
ICU unit,Unit1,Elastic-Net Logistic Regression,6194,76,0.012269938650306749,0.01837824212009062,0.012293698775420085,0.06595885167114361,0.6568495036217546,0.0229259167514932,-0.4165057349091728,-1.3330282997025333,0.7588534507328768
ICU unit,Unit1,LightGBM,6194,76,0.012269938650306749,0.019989838548658753,0.012158747750002011,0.06582857599814959,0.6667297534453984,0.026680558718793736,-0.49908510115036414,-0.12693629329071432,1.0995336658437633
ICU unit,Unit2,Ridge Logistic Regression,6458,48,0.007432641684732115,0.01820507783262892,0.007717554437958302,0.048335302655774785,0.600698777951118,0.014526496271341071,-0.9187514881897207,-3.0091208784433974,0.45451961947944236
ICU unit,Unit2,Elastic-Net Logistic Regression,6458,48,0.007432641684732115,0.013731975121935882,0.0075122424222133655,0.04533190724206506,0.6109724388975559,0.016541481704340808,-0.6272404745108227,-2.357129262288816,0.5787389078691536
ICU unit,Unit2,LightGBM,6458,48,0.007432641684732115,0.013960035394201443,0.007390865262653564,0.04396191902816897,0.6870758580343214,0.02206114081674542,-0.6394613680607274,0.4320381182660043,1.2633545666158439
ICU unit,Unknown,Ridge Logistic Regression,5330,51,0.009568480300187617,0.013839320956018406,0.00967802670331944,0.05578311589914302,0.5355329477879427,0.012268430696957936,-0.3782969832148858,-3.682211033323393,0.2180880082885154
ICU unit,Unknown,Elastic-Net Logistic Regression,5330,51,0.009568480300187617,0.01328832396609743,0.009643775647454068,0.055527359766986445,0.5441798617533773,0.011794663954945023,-0.33615724638573324,-3.5448179960528226,0.24712996634233383
ICU unit,Unknown,LightGBM,5330,51,0.009568480300187617,0.015751756362249764,0.009540195600135562,0.05525901391846316,0.569784458583585,0.013706793343600506,-0.5063114456338819,-2.065829893545921,0.6174055772334938
